Rank,Institution,Type,City,Website,Deposits,Assets,Biz card?,Card link,0% intro,Terms,Underwriter,UW evidence,Apply,Apply link,Bureau (quick),No-doc (quick),ChexSystems,EWS,LexisNexis/SageStream,Other secondary,Live-check note,Sources,Screen date
171,CERTIFIED FEDERAL CREDIT UNION,Credit Union,El Monte,https://www.certifiedfed.com,720823,919973,NO,,—,Personal MORE Rewards VISA only; no business banking or business credit card on site,—,,—,,—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://www.certifiedfed.com/,2026-06-11
172,SACRAMENTO CREDIT UNION,Credit Union,Sacramento,https://www.sactocu.org,719015,851939,YES,https://www.sactocu.org/Business/Business-Loans/Business-Credit-Cards,NO,"⭐ Visa Platinum Business: no annual fee, limits to $25k, 25-day grace, low variable rate",SELF,Own-domain card page + own Visa Card Services page; no third party named,Online,https://www.sactocu.org/Business/Business-Loans/Business-Credit-Cards (apply online or call 916-444-6070),—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://www.sactocu.org/Business/Business-Loans/Business-Credit-Cards; https://www.sactocu.org/business-accounts/,2026-06-11
173,1ST NORTHERN CALIFORNIA CREDIT UNION,Credit Union,Martinez,https://www.1stnorcalcu.org,718336,825393,NO,,—,Personal Visa (Rewards 1pt/$1) only; businesses can join but no business credit card product found,—,[raw: N/A],N/A,,—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://www.1stnorcalcu.org/,2026-06-11
174,"AMERICAN PLUS BANK, N.A.",Bank,Arcadia,https://bankaplus.com,716600,890687,YES,https://bankaplus.com/Credit-Cards,Not visible (terms behind TCM portal),Visa Platinum Cash Rewards (consumer) + Visa Charge Company Rewards (business); terms not on bank page,TCM,Live apply link routes to https://www.mycommunitycc.com/QuUPgYKUKqcw = TCM Bank (ICBA) cardholder platform,Online (TCM portal),https://www.mycommunitycc.com/QuUPgYKUKqcw,Not visible,Not visible,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS v7 update (TCM via mycommunitycc.com routing confirmed live; original 'TIB' prior superseded). Business card = Charge Company Rewards; terms still N/M,https://bankaplus.com/Credit-Cards | https://www.mycommunitycc.com/QuUPgYKUKqcw,2026-06-11
175,ENDEAVOR BANK,Bank,San Diego,https://www.endeavor.bank,709408,805315,YES,https://creditcardlearnmore.com/11t3/index?ecdma-lc=35185&ecid=OTHE_25940#business,⭐ 0% intro 12 billing cycles (Business Cash Preferred); 0% 6 cycles (Business Real Rewards),Cash Preferred $0 AF; Smart Business Rewards $0 intro then $95 AF; Real Rewards $0 AF,Elan,"Offer site (Endeavor-branded, lc=35185): 'The creditor and issuer of these Cards is Elan Financial Services'",Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=35185&ecid=OTHE_25940#business,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"LIVE-CONFIRMS (Elan, online); live adds terms prior lacked (0% 6-12 cyc, $0/$95 AF)",https://creditcardlearnmore.com/11t3/index?ecdma-lc=35185&ecid=OTHE_25940,2026-06-11
176,BAC COMMUNITY BANK,Bank,Stockton,https://www.bankbac.com,684849,780102,YES,https://www.bankbac.com/business/loans-credit/business-credit-cards.html,NO,4 cards: Small Business Rewards (1pt/$1) / Cash Rewards (1%) / Edition (low rate no-penalty-APR) / Company Rewards Charge ($0 AF); no 0% intro shown,TCM,Live page states issuer TCM Bank N.A.; apply via mycommunitycc.com (TCM platform),Online,https://www.mycommunitycc.com/2f497f80fb2c/business/,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS,https://www.bankbac.com/business/loans-credit/business-credit-cards.html,2026-06-11
177,OCEANAIR FEDERAL CREDIT UNION,Credit Union,Oxnard,https://oceanair.org,683443,870760,NO,,—,Business checking + commercial RE only; consumer Platinum Visa & Epic Rewards cards,—,,—,,—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://oceanair.org/business-overview/; https://oceanair.org/,2026-06-11
178,RIVER VALLEY COMMUNITY BANK,Bank,Yuba City,https://www.myrvcb.com,670456,764212,YES,https://www.myrvcb.com/business/business-credit-cards-debit,PRIOR only (terms N/M; Elan storefront not re-fetched),Elan biz Visa lineup (low rate / cash back / rewards per prior); zero fraud liability; terms on Elan storefront,Elan,Live page snippet: creditor and issuer is Elan Financial Services (Visa/Mastercard licenses),Online (also via branch phone),https://www.mycardapply.com/synindex/?ecdma-lc=33345&ecid=OTHE_25940&offertype=0,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"LIVE-CONFIRMS (Elan, online apply, biz cards exist)",https://www.myrvcb.com/business/business-credit-cards-debit,2026-06-11
179,FIRST COMMERCIAL BANK (USA),Bank,Alhambra,https://www.bankfcb.com,670130,871581,NO,—,—,"Live homepage/nav: personal + commercial banking, loans, international services; NO credit card referenced anywhere",—,Live nav crawl: no card products; prior note stands that 'FCB Banks' (IL) Elan hits are a misattribution — different institution [raw: None],No,—,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS,https://www.bankfcb.com,2026-06-11
180,BANK OF SAN FRANCISCO,Bank,San Francisco,https://www.bankbsf.com,670003,767510,UNCLEAR,,not stated,No card marketing page live; only 'Log In to Credit Cards' -> myaccountaccess.com (Elan servicing); business nav shows deposits/commercial/SBA only,Elan,Live: credit-card login routes to myaccountaccess.com = Elan servicing portal; no issuer statement or product page visible,In-person,contact bank 415-744-6700 — no public application,N/M (prior: TransUnion varies per Elan),N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS (Elan rail via myaccountaccess servicing login; no public apply; terms N/M — matches prior servicing-login-only characterization),https://www.bankbsf.com,2026-06-11
181,FOOTHILL FEDERAL CREDIT UNION,Credit Union,Arcadia,https://www.foothillcu.org,668508,772237,NO,,—,,—,Card lineup is consumer Mastercard (rewards/low rate); no business card found in site index; direct fetch blocked (403),—,,—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://www.foothillcu.org/Loans/Credit-Cards-Personal-Loans/Mastercard-Credit-Cards,2026-06-11
182,UNCLE CREDIT UNION,Credit Union,Livermore,https://www.unclecu.org/,663677,738043,YES,https://www.unclecu.org/business-credit-card/,NO (none mentioned),⭐ Business Rewards Credit Card; 13.99%-28.99% APR; limits $500-$40k; no annual fee; 1.5x points,SELF,Own-domain card page; online app via app.loanspq.com (MeridianLink) not a card-issuer portal; no Elan/FNBO/Collabria evidence,Online,https://app.loanspq.com/cc/CreditCard.aspx (via Apply Now on card page),—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://www.unclecu.org/business-credit-card/,2026-06-11
183,MISSION VALLEY BANK,Bank,Sun Valley,https://www.missionvalleybank.com,632141,772560,YES,https://missionvalleybank.com/card-services/,Not shown live ('Summary of Credit Terms provided at time of application'),Business credit card programs via third party; multiple options; terms only at application; debit + Card Valet also offered,TCM,"Live page: 'issued by TCM Bank, N.A., a subsidiary of ICBA Bancard, under license from Visa'; apply at mycommunitycc.com/A0oVKGkHmrYt (same URL as prior)",Online,https://www.mycommunitycc.com/A0oVKGkHmrYt,Not visible live (prior: Experian — TCM standard),⭐ Not visible live (prior: PG likely; SBA-eligible only; no tax returns at app),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS-PRIOR,https://missionvalleybank.com/card-services/,2026-06-11
184,USC CREDIT UNION,Credit Union,Los Angeles,https://www.usccreditunion.org,631164,719189,YES,https://www.usccreditunion.org/business-banking/,Not stated,Business Mastercard referenced on business banking page; no annual fee; no foreign transaction fee; APR not shown; dedicated card page 404s,SELF,Issuer shown as USC Credit Union; app runs on CUDL/Lending360 (internetloanapplication.cudl.com/usccu) = CU's own underwriting rails; no Elan/TCM markers,Online,https://internetloanapplication.cudl.com/usccu/,—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://www.usccreditunion.org/business-banking/ | https://www.usccreditunion.org/credit-cards/,2026-06-11
185,"Golden Bank, National Association",Out-of-state bank with CA branches (SOD),Houston,https://www.goldenbank-na.com,630355,2248800,NO,,—,"Business products = commercial checking, MMA, CRE/business/SBA loans, business DEBIT card, wires, LC, cash mgmt - no credit card",—,Only card product is Business Debit Card,No,,—,Not applicable,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS (no business credit card; debit only),https://www.goldenbank-na.com/,2026-06-11
186,Habib American Bank,Out-of-state bank with CA branches (SOD),New York,https://www.hab.bank,612187,2977085,YES,https://www.hab.bank/business/banking-services/visa-business-credit-card,NO (none published),Page live: 'secured business credit card' for purchases/bills/cash + expense tracking; no APR/AF/terms published,UNKNOWN,HAB-branded page; no third-party portal or issuer disclosure visible,In-person/contact ('Let's Open an Account' CTA; no online card app),https://www.hab.bank/business/banking-services/visa-business-credit-card,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"LIVE-CONFIRMS (Visa Business Credit Card page live, SECURED framing confirmed, issuer/terms still N/M)",https://www.hab.bank/business/banking-services/visa-business-credit-card,2026-06-11
187,MYPOINT CREDIT UNION,Credit Union,San Diego,https://www.mypointcu.com,585195,701059,NO,,—,Business checking/savings/loans and Autobooks offered but no business credit card; personal VISA only,—,,—,,—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://www.mypointcu.com/business,2026-06-11
188,Cornerstone Community Bank,Out-of-state bank with CA branches (SOD),Red Bluff,https://www.bankcornerstone.com,580953,658098,YES,https://www.bankcornerstone.com/loans/credit-cards/business-credit-cards.html,UNCLEAR,Elan menu: low rate/cash back/flex rewards business cards; free employee cards; 24/7 cardmember service,Elan,Site states card links go to partner Elan Financial Services; bank does not service cardholders,Online,https://www.bankcornerstone.com/loans/credit-cards/business-credit-cards.html,—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://www.bankcornerstone.com/loans/credit-cards/business-credit-cards.html,2026-06-11
189,EXCITE CREDIT UNION,Credit Union,San Jose,https://excitecu.org,576946,615237,YES,https://excitecu.org/personal/borrow/credit-cards/visa-business,NO (none mentioned),⭐ Visa Business Rewards: 16.24%-22.74% APR; 1% cash back; no annual/BT/cash-advance fees; limit up to $30K,SELF,Page states Excite CU issues card directly; own-domain application portal,Online,https://info.excitecu.org/credit-cards,Personal credit impacts rates (per page),—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://excitecu.org/personal/borrow/credit-cards/visa-business,2026-06-11
190,Woori America Bank,Out-of-state bank with CA branches (SOD),New York,https://www.wooriamericabank.com,572636,4041585,YES,https://www.wooriamericabank.com/Business-Credit-Cards,NO,Business Rewards + Business Secured Rewards Visa; 1pt/$1 unlimited; AF/APR not published; no 0% shown,TCM,Live page routes servicing to mycardstatement.com + ScoreCard rewards (scorecardrewards.com 800-854-0790) — TCM agent-program fingerprint; TCM not named on page,Branch/phone,https://www.wooriamericabank.com/Business-Credit-Cards,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS — mycardstatement/ScoreCard decode reproduced live,https://www.wooriamericabank.com/Business-Credit-Cards,2026-06-11
191,PACIFIC COAST BANKERS' BANK,Bank,Walnut Creek,https://www.pcbb.com,559752,1084528,NO,,—,Correspondent/bankers' bank serving FIs only - no retail or business card products,—,,—,,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Fresh screen (single pass; not in live re-verify set),https://www.pcbb.com/,2026-06-11
192,PREMIER ONE CREDIT UNION,Credit Union,San Jose,https://www.premieronecu.org,558082,656413,NO,,—,,—,Site nav has no business banking section; Card Center is personal credit cards only,—,,—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://www.premieronecu.org/,2026-06-11
193,I.L.W.U. FEDERAL CREDIT UNION,Credit Union,Long Beach,https://www.ilwucu.org/,546856,601927,NO,,—,Consumer Visa cards only (CARGO Rewards/Platinum/Secured); no business card on cards page,—,,—,,—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://www.ilwucu.org/loans/credit_cards,2026-06-11
194,PACIFIC VALLEY BANK,Bank,Salinas,https://www.pacificvalleybank.com,546200,627944,NO,,—,Commercial/ag lender; debit Mastercard only; no credit card products listed anywhere in nav,—,n/a — no card,n/a,,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS (no credit card; debit only),https://www.pacificvalleybank.com/,2026-06-11
195,COMMONWEALTH CENTRAL CREDIT UNION,Credit Union,San Jose,https://www.wealthcu.org,533064,626858,UNCLEAR,https://www.wealthcu.org/visa-credit-cards,Not stated,Three consumer Visa Platinum cards (Passport/Cash Back/Secured); search snippets say cards available to sole proprietors only - no dedicated business card line; site blocked direct fetch (403),UNKNOWN,Card pages not fetchable (403); no issuer markers seen in search results,UNKNOWN,,—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://www.wealthcu.org/visa-credit-cards | https://www.creditunionsonline.com/credit-union-169.html,2026-06-11
196,GOLDEN VALLEY BANK,Bank,Chico,https://www.goldenvalley.bank,525767,577734,YES,https://www.goldenvalley.bank/credit-cards/,UNCLEAR — Elan business suite typically incl. 0% intro offers but terms not re-verified (goldenvalley.bank unfetchable from this environment),Live search of goldenvalley.bank/credit-cards/: 'Golden Valley Bank has partnered with Elan Financial Services to offer consumer and business credit card products... competitive pricing combined with a full range of reward options',Elan,Live site text (via search snippet of credit-cards page): partnered with Elan for consumer + business cards,Online,https://www.goldenvalley.bank/credit-cards/,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS,https://www.goldenvalley.bank/credit-cards/,2026-06-11
197,GBC INTERNATIONAL BANK,Bank,Los Angeles,https://www.gbcib.com,522816,676588,YES,https://www.mycommunitycc.com/k7OgnYPt1fSE,not visible (application portal is JS-rendered; terms in app disclosures),'Business Credit Card' under Loans & Credit + homepage 'Credit Card Program'; terms not published on bank site,TCM,mycommunitycc.com = TCM Bank application platform (rail live from gbcib.com); TCM not named verbatim in visible content (prior named TCM),Online,https://www.mycommunitycc.com/k7OgnYPt1fSE,not visible live (prior: Experian per TCM BBB DPs),not visible live (prior: SBA-eligible only),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS (TCM mycommunitycc rail live; online apply; terms N/M),https://www.gbcib.com | https://www.mycommunitycc.com/k7OgnYPt1fSE,2026-06-11
198,CABRILLO CREDIT UNION,Credit Union,San Diego,https://www.cabrillocu.com,511775,571809,NO,,—,Consumer-only lineup: Signature / Traditional / Share Secured credit cards + auto/personal loans/HELOC; zero business banking references sitewide,—,n/a — no business program [raw: UNKNOWN],n/a,,n/a,n/a,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),LIVE-CONFIRMS-PRIOR,https://www.cabrillocu.com,2026-06-11
199,FIRST U.S. COMMUNITY CREDIT UNION,Credit Union,Sacramento,https://firstus.org,490051,554171,YES,https://firstus.org/business,Not stated,"Business Platinum Visa: no annual fee 1st yr (waived w/ active biz checking or biz loan), no balance transfer fees, no collateral; APR not shown; no 0% intro mentioned",UNKNOWN,No third-party servicer named on page; apply-online link domain not verified,Online,https://firstus.org/business (also branch or 800-556-6768),Not stated on page,Not stated on page,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://firstus.org/business,2026-06-11
200,REDWOOD CAPITAL BANK,Bank,Eureka,https://www.redwoodcapitalbank.com,484145,543402,YES,https://www.redwoodcapitalbank.com/business/business-credit-cards,No 0% intro (none mentioned),"Standard $0 AF no rewards; Preferred Points Rewards $49 AF 1pt/$1 to 10K pts/mo; ""account will never have an APR over 21%""; 25-day grace; FX 2%; late $25",TIB,"PDF app submits to Card Service Center, P.O. Box 569120, Dallas TX 75356-9120 (TIB card-services address); no issuer named on page",Online-banking app (existing customers) or PDF via fax/mail (new),https://www.redwoodcapitalbank.com/business/business-credit-cards,Not visible,Not visible,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"LIVE-CONTRADICTS (apply: prior In-person; live = online-banking application for existing customers / PDF fax-mail for new applicants). Terms CONFIRMED: 21% cap, $0/$49 AF, 1pt to 10K/mo, no 0%",https://www.redwoodcapitalbank.com/business/business-credit-cards,2026-06-11
201,PARTNERS BANK OF CALIFORNIA,Bank,Mission Viejo,https://www.pbofca.com,482189,614543,UNCLEAR,https://www.pbofca.com/client-support/,NO (none published),"Card program exists (Card Account - Card Service Center login; card support lines 800-367-7576 24/7, 866-323-2741) but NO business credit card marketed anywhere in site nav/products",TIB,"Support page shows generic 'Card Service Center' (TIB-style); TIB attribution corroborated only by search-level association, not on-site disclosure",In-person/phone (no online card application),,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PRIOR-RICHER (prior claimed TIB business MC w/ Preferred Points; live site does not market any business credit card - only a card service login + support numbers; cannot confirm business card product live),https://www.pbofca.com/client-support/; https://www.pbofca.com/,2026-06-11
202,Shinhan Bank America,Out-of-state bank with CA branches (SOD),New York,https://www.shbamerica.com,478280,1972804,YES,https://www.shbamerica.com/business-business-credit-card/,NO,Limit $4000-$100000 published; $45 AF; 25-day grace; no cash advance; primary deposit-or-loan relationship REQUIRED; no 0%,SELF,Card page presents Shinhan Bank America as issuer; no third-party portal/agent named anywhere — consistent with small self-run portfolio,Branch,https://www.shbamerica.com/business-business-credit-card/,—,Docs not listed ('contact us'),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS — terms/limits/AF/grace all match; live leans SELF where prior had UNKNOWN,https://www.shbamerica.com/business-business-credit-card/,2026-06-11
203,OneUnited Bank,Out-of-state bank with CA branches (SOD),Boston,https://www.oneunited.com,476360,609027,NO,,—,"Only card = UNITY Visa secured CONSUMER card ($39 AF, 9.95% BT 6mo then 17.99% fixed, deposit $250-$10K); no business credit card; oneunited.com 403s direct fetch — verified via search",—,n/a — no business card,n/a,,—,—,Yes — own pages confirm; U2 second-chance available (2026-06-10) [v6 existing cell],UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS (consumer secured card only; no business card),https://www.oneunited.com/unity-visa/,2026-06-11
204,MEGA BANK,Bank,San Gabriel,https://www.megabankusa.com,437435,515129,YES,https://www.megabankusa.com/Other-Services,UNCLEAR — terms not published; TCM application portal carries card-level terms,"Live: Mega Bank Other-Services page offers Personal and Business Credit Cards administered by TCM Bank, N.A.; apply online at mycommunitycc.com; cardholder servicing MyCardStatement.com, 800-883-0131",TCM,"Live: megabankusa.com Other-Services page (via search) — cards 'administered by TCM Bank, N.A.'; mycommunitycc.com = TCM online application portal",Online,https://www.mycommunitycc.com/,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS (prior deep-link mycommunitycc.com/vsqcwJmaxwd7 not re-resolved; portal root live),https://www.megabankusa.com/Other-Services; https://www.mycommunitycc.com/; https://www.tcmbank.com/,2026-06-11
205,American First National Bank,Out-of-state bank with CA branches (SOD),Houston,https://www.afnb.com,419284,2864702,NO,,—,Checking/savings/MMDA + commercial loans; Debit Card only — no credit card products in navigation,—,Live nav: 'Debit Card' + deposits + commercial loans; no credit card mention [raw: N/M],N/M,,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS (debit only; no business credit card),https://www.afnb.com,2026-06-11
206,GAIN FEDERAL CREDIT UNION,Credit Union,Burbank,https://gainfcu.com,409985,439329,NO,,—,Business checking/savings/certificates only; personal Mastercards (Classic/Platinum Rewards/Equity Gold) - no business card,—,,—,,—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://gainfcu.com/accounts/business.html,2026-06-11
207,FIRST PACIFIC BANK,Bank,Whittier,https://www.firstpacbank.com,409799,489849,YES,https://www.firstpacbank.com/business-banking/business-loans-and-lines-of-credit/,Not shown on bank page (prior N/M),Elan menu: low rate / cash back / flexible rewards; free employee cards; zero fraud liability,Elan,Live page: 'Elan Financial Services issues these cards pursuant to a license from Visa U.S.A. Inc.'; apply via creditcardlearnmore.com/11t3 (loc=10228),Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=10228&ecid=OTHE_25940#business,Not visible live (prior: TU typical for Elan),⭐ Not visible live (prior: PG yes; no tax returns <$25K),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS-PRIOR,https://www.firstpacbank.com/business-banking/business-loans-and-lines-of-credit/,2026-06-11
208,WHEELHOUSE CREDIT UNION,Credit Union,San Diego,https://www.wheelhousecu.com,400445,456771,NO,,—,"Personal-only nav (checking/savings, consumer loans, personal Visa); no business banking section exists",—,No business products on site,No,,—,Not applicable,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),"LIVE-CONFIRMS (no business products visible 2026-06-11, matching 2026-06-10 prior)",https://www.wheelhousecu.com/,2026-06-11
209,Amalgamated Bank,Out-of-state bank with CA branches (SOD),New York,https://www.amalgamatedbank.com,397338,9168378,YES,https://www.amalgamatedbank.com/business-credit-cards,⭐ YES (0% intro APR purchases + balance transfers first 6 billing cycles),Business Mastercard via FNBO: 1.5 pts/$1; after intro 20.99%-28.49% variable; expense mgmt reports,FNBO,"Apply page hosted at card.fnbo.com/mpp/fi/amalgamatedbank; ""issued by First National Bank of Omaha""",Online,https://www.card.fnbo.com/mpp/fi/amalgamatedbank/business/web-mc,—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://www.amalgamatedbank.com/business-credit-cards; https://www.card.fnbo.com/mpp/fi/amalgamatedbank/business/web-mc,2026-06-11
210,MOCSE FEDERAL CREDIT UNION,Credit Union,Modesto,https://mocse.org,396495,430486,NO,,—,Business savings/checking/MMA exist but only consumer Mastercard offered,—,,—,,—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://mocse.org/cards/credit-card/,2026-06-11
211,"CHINO COMMERCIAL BANK, N.A.",Bank,Chino,https://www.chinocommercialbank.com,388102,465786,NO,,NO,"No credit cards listed anywhere on live site (checking/savings, loans, merchant services, Zelle); no business card",—,n/a - no card marketed [raw: UNKNOWN],No,,—,—,"Consumer: UNKNOWN — own disclosures page lists only Privacy/ToU/Patriot Act/EDIE; no deposit agreement online; no DPs (v6 also none) | BUSINESS: UNKNOWN — small commercial bank, branch/RM opening; no vendor named anywhere public [2026-06-11 (searched, no data)] (https://www.chinocommercialbank.com/about/general-information/disclosures/)","Consumer: UNKNOWN | BUSINESS: UNKNOWN [2026-06-11 (searched, no data)] (https://www.chinocommercialbank.com/about/general-information/disclosures/)",UNKNOWN,UNKNOWN,LIVE-CONFIRMS no business card; prior's consumer third-party card not visible on current site (PRIOR-RICHER on that detail),https://www.chinocommercialbank.com/,2026-06-11
212,"NEW OMNI BANK, NATIONAL ASSOCIATION",Bank,Alhambra,https://newomnibank.com,371245,515271,NO,,—,Deposits + mortgage/HELOC/auto + SBA/CRE/C&I/trade-finance lending; no credit card in nav,—,No card product on site [raw: NONE],—,,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS,https://newomnibank.com,2026-06-11
213,PACIFIC ALLIANCE BANK,Bank,San Gabriel,https://www.pacificalliancebank.com,366529,450670,NO,,—,Commercial/SBA lender; contactless DEBIT card only; no credit card products in nav,—,n/a — no card,n/a,,—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS (no credit card; debit only),https://www.pacificalliancebank.com/,2026-06-11
214,CAHP CREDIT UNION,Credit Union,Sacramento,https://cahpcu.org,365689,403972,YES,https://cahpcu.org/Business-Banking,UNCLEAR — no business card terms published,Live (via search of cahpcu.org/Business-Banking): 'Visa Business Credit Cards with an array of expense management tools and mobile payment capabilities'; consumer lineup separate (Premier Visa etc.); law-enforcement FOM; cahpcu.org unfetchable from this environment,UNKNOWN,No issuer named on business banking page; consumer Premier Visa appears self-branded; business card issuer not stated,Assisted,https://cahpcu.org/Business-Banking (contact VP Account Management jalves@cahpcu.org),—,—,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS,https://cahpcu.org/Business-Banking; https://cahpcu.org/Credit-Cards,2026-06-11
215,EAGLE COMMUNITY CREDIT UNION,Credit Union,Lake Forest,https://www.eaglecu.org,365601,411441,NO,,—,,—,Consumer Rewards Mastercard only; no business credit card found,—,,—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://www.eaglecu.org/,2026-06-11
216,GLENDALE AREA SCHOOLS CREDIT UNION,Credit Union,Glendale,https://gascu.org/,364073,421655,NO,,—,Consumer Bonus Rewards VISA only; business loans offered but no business credit card,—,,—,,—,—,UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),UNKNOWN (no sweep row),Fresh screen (single pass; not in live re-verify set),https://gascu.org/,2026-06-11
217,BALBOA THRIFT AND LOAN ASSOCIATION,Industrial Loan Company,Chula Vista,https://www.balboathrift.com,361152,408010,NO,,—,Auto financing (dealer-channel) + commercial real estate + personal/business deposits; no credit card product on bank pages ('credit cards' mention in one third-party profile blurb only — not bank content),—,balboathrift.com serves browser-upgrade page to bots; subpages 404; indexed bank content = auto loans/CRE/deposits only [raw: N/M],N/M,,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIVE-CONFIRMS (no card; auto+CRE thrift; site partially unfetchable — verified via indexed bank pages),https://www.balboathrift.com/ | https://dfpi.ca.gov/regulated_entity/balboa-thrift-and-loan-association/,2026-06-11
